ID,Post Title,Post Content,Image URL
18,Robe body 2 en 1 pour bébé fille à imprimé fleurs avec serre-tête,  Style: Mignon   Couleur: Multicolore   Type de motif: Floral   Type du col: Col en V   Longueur: Court   détails: Dentelle contrastée   Longueur des manches: Sans manches   Saison: Été   Tour de taille: Taille haute   Type d'ajustement: Coupe régulière   Transparent: Non   Sexe: Filles   Tissu/matériel: Polyester   Composition: 100% Polyester   Tissu: Extensibilité légère  ,http://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/159617905466fcbd8cc90a328faf7be2a797a28ca3_thumbnail_600x.jpg
31,robe t-shirt à rayures avec imprimé et pantalon de survêtement Ensemble,"   Style: Casual   Couleur: Rayé noir et blanc   Type de motif: Rayé, Animal   Type du col: Col rond   Type de haut: T-shirt   Type de bas: style survêtement   détails: Cordon   Longueur des manches: Manches courtes   Type de manches: Classiques   Saison: Printemps/Été   Type d'ajustement: Coupe régulière   Transparent: Non   Vêtements traditionnels arabes: OUI   Tissu/matériel: Polyester   Composition: 97% Polyester , 3% Élasthanne   Tissu: Extensibilité légère   ",http://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/16071527289f373271dca00ecbd6559afa116d8040_thumbnail_600x.jpg
140,5 pièces Fille Set de sacs avec poche,"    Couleur: Rose bonbon   Sexe: Filles   Type de motif: Cartoon, Lettres   Type de brides (cm): Ajustable, Double poignée   Taille du sac: Grand   Composition: 100% Canevas   Tissu/matériel: Canevas    ",http://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1608529856cd440b264d5b400e8ff7b9e504a16a51_thumbnail_600x.jpg
287,Brosse nettoyante pour le visage électronique,"Couleur:
Rose bonbon
Type:
Brosses nettoyantes
Tissu/matériel:
Gel de silice
Alimentation:
Chargeur USB
Hauteur :
8 cm
Largeur :
8.6 cm
Longueur :
11.8 cm",https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/16034316887214a35899c85b3cc2941dcd49cf9bad_thumbnail_600x.jpg
318,Carte Cadeau,"Notre carte cadeau est :
<ul>
 	<li>valable sur tout le site pour un petit coup de pouce travaux ou pour révéler son âme d'artiste</li>
 	<li>personnalisable et dispo immédiatement en version digitale</li>
 	<li><strong>40 €</strong>, <strong>100 €</strong>, <strong>150 €</strong> ou <strong>200 €</strong> : c'est vous qui choisissez !</li>
 	<li>cumulable avec d'autres cartes cadeaux</li>
</ul>",https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/340.jpg
335,Robe avec imprimé floral et plis,          Style: Bohème   Couleur: Bleu marine   Type de motif: Floral   Type du col: Col rond   Longueur: Long   Type: Trapèze   Détails: Froncé   Longueur des manches: Manches longues   Saison: Printemps/automne   Tour de taille: Taille haute   Type d'ajustement: Coupe régulière   Ourlet/finition: Évasé   Tissu/matériel: Polyester   Composition: 100% Polyester   Tissu: Pas de l'extensibilité                     ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/15649860803174982602_thumbnail_600x799.jpg
363,Chapeau de paille avec nœud papillon,  Couleur: Beige   Type de motif: Unicolore   Saison: Printemps/automne   Style: Casual   Type: Chapeau en paille   Sexe: Filles   Tissu/matériel: Paille   Composition: 100% Paille  ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/16155323449c1d83c29afffd81c6ddcbd079e4c3e8_thumbnail_600x.jpg
369,Gants longs de protection solaire - Blanc,,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/161482869968f31af43916630b19936ba5b0ade941_thumbnail_600x.jpg
379,Chapeau à visière avec broderie - Beige,,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/160920942902891907ffc67c0dc2f04cc4885a8380_thumbnail_600x.jpg
385,Casquette de base-ball avec broderies,  Couleur: Blanc   Type de motif: Floral   Saison: Printemps/automne   Style: Casual   Type: Casquette de base-ball   Composition: 100% Coton  ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1583823311bcfcdddfb0de6c1bacdcc930b9effef6_thumbnail_600x.jpg
390,Sac à main à motif lettre,"  Style: À la mode   Type de motif: Lettres   Détails: Pompon, Festonné   Type: Sacs à poignée   Type de brides (cm): Ajustable, Double poignée   Composition: 100% Cuir PU   Tissu/matériel: Cuir PU   Taille du sac: Moyen  ",https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/159117447501289a1a4ac7a3b270773a246b9600d7_thumbnail_600x.jpg
405,Homme Portefeuille à rabat avec dragonne,"     Couleur: Noir, Marron   Type de motif: Unicolore   Magnétique: Non   Taille du sac: Petit   Composition: 95% Cuir PU, 5% Polyester      Type de motif: Unicolore   Magnétique: Non   Taille du sac: Petit   Composition: 95% Cuir PU, 5% Polyester  ",https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/159823358878293d8dcbb96c0e5cf5b68be0bbf3d9_thumbnail_600x.jpg
411,Homme Sac à bandoulière minimaliste,  Couleur: Noir   Type de motif: Unicolore Type de brides (cm): Ajustable   Magnétique: Non   Taille du sac: Petit   Composition: 100% Polyester   Tissu/matériel: Polyester  ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/15941031774fe811bf3649cb530398fd6473975859_thumbnail_600x.jpg
425,3 pièces Homme Set de sac à lettre - Noir,,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/159738444202588ce6298297cfa15943ba2d99f3f1_thumbnail_600x.jpg
417,3 pièces Homme Set de sac à lettre,"  Couleur: Gris, Noir   Type de motif: Lettres   Type de brides (cm): Ajustable   Taille du sac: Grand   Composition: 100% Oxford   Tissu/matériel: Oxford  ",https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1596089064f1183b63c88663e627292995ac98dd20_thumbnail_600x.jpg
433,Enfant Sac à dos à motif dinosaure - Bleu-vert,,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/160550780533074f686a516324a6b489918bf8e1b2_thumbnail_600x.jpg
454,6 paires Boucles d'oreilles avec fausse perle,"  Détails: Cœur, Perle   Composition: 70% Alliage, 10% Perle, 10% Polyester , 10% Strass   Couleur Métallique: Doré   Tissu/matériel: Métallique   Couleur: Multicolore   Type: Ensembles   Style: Casual  ",https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/157839472275a9fbd34f2c08feb038955a50837429_thumbnail_600x.jpg
467,Baskets à lacets,  Style: BCBG   Couleur: Blanc   Type de motif: Blocs de couleur   Type: Chaussures de skate-board   Type de brides (cm): Lacets   Bout: Bout rond   Hauteur supérieure: Chaussures basses   Taille appropriée: Fidèle à la pointure   Matière Semelle Intérieure: Cuir PU   Matière semelle extérieure: TPR   Matière extérieure: Cuir PU  ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/16159444371567a8f1332b82c7cdec8f3dc125e7d2_thumbnail_600x.jpg
471,Sandales plates à bride de cheville avec ourlet festonné,  Style: À la mode   Couleur: Doré   Type de motif: Unicolore   Type: Sandales à lanières   Type de brides (cm): Bride de Cheville   Bout: Orteil ouvert   Taille appropriée: Une taille plus petite   Tissu de doublure: Cuir PU   Matière Semelle Intérieure: Cuir PU   Matière semelle extérieure: Caoutchouc   Matière extérieure: Cuir PU  ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1564482832936798284_thumbnail_600x799.jpg
490,Sandales à boucle,"  Style: Sport   Couleur: Noir, beige   Type de motif: Unicolore   Détails: boucle   Type: Sandales de sport   Bout: Orteil ouvert   Talons: Plate-Forme   Hauteur du Talon: Mi-Haut   Taille appropriée: Une taille plus petite   Matière Semelle Intérieure: plastique   Matière semelle extérieure: Mousse plastique   Matière extérieure: plastique  ",https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1594004815c73e92095c0ca19d7ee664b318a1c024_thumbnail_600x.jpg
506,Sac à dos design de chat,  Couleur: Rose bonbon   Sexe: Filles   Type de motif: Cartoon   Taille du sac: Petit   Composition: 100% Cuir PU  ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1571300877d82c1f1535bb64a1d4b69d448eb0a2eb_thumbnail_600x.jpg
511,Pendants d'oreilles à perles,  Détails: Perle   Couleur Métallique: Doré   Tissu/matériel: Perle   Couleur: Doré   Type: Pendentif d'oreille   Style: Glamour  ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/16124952677e0b9d43219507ff6eab4ad8f9eb0440_thumbnail_600x.jpg
517,Bracelet de montre Apple en silicone respirant,"  Marque: iPhone   Couleur: Bleu marine, bleu ciel, kaki, beige,  lemon, orange, rose   Type de motif: Unicolore   Type: Bracelet de montre   Tissu/matériel: Gel de silice  ",https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/161371200790d7eadf5c2d2fea36d8bef691459433_thumbnail_600x.jpg
526,Bracelet de montre Apple en silicone respirant - Bleu Ciel,,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1610430358d2467158192aa151d93f9af97e8bb793_thumbnail_600x.jpg
540,Bracelet de montre Apple en silicone à motif tissé - Blanc,,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1613787474d34ee37a7e6a36abc37087fc66ede013_thumbnail_600x.jpg
544,Bracelet de montre Apple en silicone à motif tissé - Noir,,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1613787464491c3d9fcae8903c74f897ab73b0cc88_thumbnail_600x.jpg
554,Homme Chaussures skate-board à lacets,,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1616152494dfa0314c3afc2b0b046de4a5e8544744_thumbnail_600x.jpg
565,Homme Baskets à lacets, Type de motif: Blocs de couleur   Taille appropriée: Fidèle à la pointure   Type de brides (cm): Lacets   Matière Semelle Intérieure: Tulle   Matière extérieure: Tulle   Matière semelle extérieure: Caoutchouc ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1610932952fdcb17d4f3193ea45b9d864e99d98411_thumbnail_600x.jpg
588,Brosse à dents électrique simple - Blanc,,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1603359465f8ff38cd56fde3c0f5a27fa2d8ba1602_thumbnail_600x.jpg
617,2 pièces Homme Chapeau de baseball avec broderie,  Couleur: Rayé noir et blanc   Saison: Printemps/automne   Style: Casual   Type: Casquette de base-ball   Tissu/matériel: Mélange coton   Composition: 100% Mélange coton  ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/15922124727439e02f98993fbfc83e81113b8f422f_thumbnail_600x.jpg
623,Chemise à capuche avec carreaux,  Style: BCBG   Couleur: Multicolore   Type de motif: Carreau   Type du col: Capuche   Longueur: Classique   Type: Chemise   Détails: Avec boutons devant   Longueur des manches: Manches longues   Type de manches: Classiques   Saison: Printemps/automne   Type d'ajustement: Coupe régulière   Transparent: Non   Type de fermeture: Patte   Tissu/matériel: Coton   Composition: 100% Coton   Tissu: Pas de l'extensibilité  ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/1606702377ce8ca99d4ba48c59c55e2d778110411c_thumbnail_600x.jpg
669,Homme Gants à lettres,  Couleur: Noir   Type de motif: Lettres   Saison: Automne/Hiver   Style: Casual   Type: Gants   Tissu/matériel: Polyester   Composition: 100% Polyester  ,https://www.shop.cl92depannage.fr/wp-content/uploads/2021/03/160499145041ffe7a940c317bb48898173ba2bba30_thumbnail_600x.jpg
